sheet,rows,columns
Summary,13,"[""click_the_hyperlink_table_to_navigate_to_the_full_table's_data""]"
Table 0. Coordinates,0,[]
Table 1. Population size in eac,0,[]
Table 2. Number of Tram and Bus,0,[]
Table 3. Type of roads,0,[]
Table 4. Land use variables ,0,[]
Table 5. Monday,442,['table_5_travel_real-time_of_440_trajectory_in_monday']
Table 6. Tuesday,442,['table_6_travel_real-time_of_440_trajectory_in_tuesday']
Table 7. Wednesday,442,['table_7_travel_real-time_of_440_trajectory_in_wednesday']
Table. 8 Thursday,442,['table_8_travel_real-time_of_440_trajectory_in_thursday']
Table. 9 Friday,442,['table_9_travel_real-time_of_440_trajectory_in_friday']
Table. 10 Saturday,442,['table_10_travel_real-time_of_440_trajectory_in_saturday']
Table. 11 Sunday,442,['table_11_travel_real-time_of_440_trajectory_in_sunday']
